game,character,image_url
Super Street Fighter 4,Hakan,http://static.capcom.com/ssf4/media/images/thumb/us/ch_hakan_t.jpg
Super Street Fighter 4,Dudley,http://static.capcom.com/ssf4/media/images/thumb/us/ch_dudley_t.jpg
Super Street Fighter 4,Ibuki,http://static.capcom.com/ssf4/media/images/thumb/us/ch_ibuki_t.jpg
Super Street Fighter 4,Makoto,http://static.capcom.com/ssf4/media/images/thumb/us/ch_makoto_t.jpg
Super Street Fighter 4,Adon,http://static.capcom.com/ssf4/media/images/thumb/us/ch_adon_t.jpg
Super Street Fighter 4,Cody,http://static.capcom.com/ssf4/media/images/thumb/us/ch_cody_t.jpg
Super Street Fighter 4,Deejay,http://static.capcom.com/ssf4/media/images/thumb/us/ch_deejay_t.jpg
Super Street Fighter 4,Guy,http://static.capcom.com/ssf4/media/images/thumb/us/ch_guy_t.jpg
Super Street Fighter 4,T.Hawk,http://static.capcom.com/ssf4/media/images/thumb/us/ch_thawk_t.jpg
Super Street Fighter 4,Abel,http://static.capcom.com/ssf4/media/images/thumb/ch_abel_t.jpg
Super Street Fighter 4,M.Bison,http://static.capcom.com/ssf4/media/images/thumb/ch_bison_t.jpg
Super Street Fighter 4,Seth,http://static.capcom.com/ssf4/media/images/thumb/ch_seth_t.jpg
Super Street Fighter 4,Cammy,http://static.capcom.com/ssf4/media/images/thumb/ch_cammy_t.jpg
Super Street Fighter 4,Chun-Li,http://static.capcom.com/ssf4/media/images/thumb/ch_chunli_t.jpg
Super Street Fighter 4,Dan,http://static.capcom.com/ssf4/media/images/thumb/ch_dan_t.jpg
Super Street Fighter 4,El Fuerte,http://static.capcom.com/ssf4/media/images/thumb/ch_elfuerte_t.jpg
Super Street Fighter 4,Ken,http://static.capcom.com/ssf4/media/images/thumb/ch_ken_t.jpg
Super Street Fighter 4,Rufus,http://static.capcom.com/ssf4/media/images/thumb/ch_rufus_t.jpg
Super Street Fighter 4,Ryu,http://static.capcom.com/ssf4/media/images/thumb/ch_ryu_t.jpg
Super Street Fighter 4,Sagat,http://static.capcom.com/ssf4/media/images/thumb/ch_sagat_t.jpg
Super Street Fighter 4,Balrog,http://static.capcom.com/ssf4/media/images/thumb/ch_balrog_t.jpg
Super Street Fighter 4,Blanka,http://static.capcom.com/ssf4/media/images/thumb/ch_blanka_t.jpg
Super Street Fighter 4,Guile,http://static.capcom.com/ssf4/media/images/thumb/ch_guile_t.jpg
Super Street Fighter 4,Rose,http://static.capcom.com/ssf4/media/images/thumb/ch_rose_t.jpg
Super Street Fighter 4,Sakura,http://static.capcom.com/ssf4/media/images/thumb/ch_sakura_t.jpg
Super Street Fighter 4,Vega,http://static.capcom.com/ssf4/media/images/thumb/ch_vega_t.jpg
Super Street Fighter 4,Zangief,http://static.capcom.com/ssf4/media/images/thumb/ch_zangief_t.jpg
Super Street Fighter 4,Akuma,http://static.capcom.com/ssf4/media/images/thumb/ch_akuma_t.jpg
Super Street Fighter 4,E.Honda,http://static.capcom.com/ssf4/media/images/thumb/ch_ehonda_t.jpg
Super Street Fighter 4,Fei Long,http://static.capcom.com/ssf4/media/images/thumb/ch_feilong_t.jpg
Super Street Fighter 4,Gen,http://static.capcom.com/ssf4/media/images/thumb/ch_gen_t.jpg
Super Street Fighter 4,Gouken,http://static.capcom.com/ssf4/media/images/thumb/ch_gouken_t.jpg
Ultimate Marvel vs. Capcom 3,Akuma,http://static.capcom.com/character_api/umvc3/thumb/akuma.jpg
Ultimate Marvel vs. Capcom 3,Amaterasu,http://static.capcom.com/character_api/umvc3/thumb/amaterasu.jpg
Ultimate Marvel vs. Capcom 3,Arthur,http://static.capcom.com/character_api/umvc3/thumb/arthur.jpg
Ultimate Marvel vs. Capcom 3,C. Viper,http://static.capcom.com/character_api/umvc3/thumb/viper.jpg
Ultimate Marvel vs. Capcom 3,Chris,http://static.capcom.com/character_api/umvc3/thumb/chris.jpg
Ultimate Marvel vs. Capcom 3,Chun Li,http://static.capcom.com/character_api/umvc3/thumb/chun-li.jpg
Ultimate Marvel vs. Capcom 3,Dante,http://static.capcom.com/character_api/umvc3/thumb/dante.jpg
Ultimate Marvel vs. Capcom 3,Felicia,http://static.capcom.com/character_api/umvc3/thumb/felicia.jpg
Ultimate Marvel vs. Capcom 3,Frank West,http://static.capcom.com/character_api/umvc3/thumb/frank-1.jpg
Ultimate Marvel vs. Capcom 3,Haggar,http://static.capcom.com/character_api/umvc3/thumb/haggar.jpg
Ultimate Marvel vs. Capcom 3,Hsien Ko,http://static.capcom.com/character_api/umvc3/thumb/hsien-ko.jpg
Ultimate Marvel vs. Capcom 3,Jill,http://static.capcom.com/character_api/umvc3/thumb/jill.jpg
Ultimate Marvel vs. Capcom 3,Morrigan,http://static.capcom.com/character_api/umvc3/thumb/morrigan.jpg
Ultimate Marvel vs. Capcom 3,Nemesis,http://static.capcom.com/character_api/umvc3/thumb/nemesis-1.jpg
Ultimate Marvel vs. Capcom 3,Phoenix Wright,http://static.capcom.com/character_api/umvc3/thumb/phoenix-wright-1.jpg
Ultimate Marvel vs. Capcom 3,Ryu,http://static.capcom.com/character_api/umvc3/thumb/ryu.jpg
Ultimate Marvel vs. Capcom 3,Spencer,http://static.capcom.com/character_api/umvc3/thumb/spencer.jpg
Ultimate Marvel vs. Capcom 3,Strider,http://static.capcom.com/character_api/umvc3/thumb/strider.jpg
Ultimate Marvel vs. Capcom 3,Trish,http://static.capcom.com/character_api/umvc3/thumb/trish.jpg
Ultimate Marvel vs. Capcom 3,Tron Bonne,http://static.capcom.com/character_api/umvc3/thumb/tron.jpg
Ultimate Marvel vs. Capcom 3,Viewtiful Joe,http://static.capcom.com/character_api/umvc3/thumb/viewtiful-joe.jpg
Ultimate Marvel vs. Capcom 3,Wesker,http://static.capcom.com/character_api/umvc3/thumb/wesker.jpg
Ultimate Marvel vs. Capcom 3,Captain America,http://static.capcom.com/character_api/umvc3/thumb/captain-america.jpg
Ultimate Marvel vs. Capcom 3,Deadpool,http://static.capcom.com/character_api/umvc3/thumb/deadpool.jpg
Ultimate Marvel vs. Capcom 3,Doctor Doom,http://static.capcom.com/character_api/umvc3/thumb/doctor-doom.jpg
Ultimate Marvel vs. Capcom 3,Doctor Strange,http://static.capcom.com/character_api/umvc3/thumb/doctor-strange-1.jpg
Ultimate Marvel vs. Capcom 3,Dormammu,http://static.capcom.com/character_api/umvc3/thumb/dormammu.jpg
Ultimate Marvel vs. Capcom 3,Ghost Rider,http://static.capcom.com/character_api/umvc3/thumb/ghost-rider.jpg
Ultimate Marvel vs. Capcom 3,Hawkeye,http://static.capcom.com/character_api/umvc3/thumb/hawkeye.jpg
Ultimate Marvel vs. Capcom 3,Hulk,http://static.capcom.com/character_api/umvc3/thumb/hulk.jpg
Ultimate Marvel vs. Capcom 3,Iron Fist,http://static.capcom.com/character_api/umvc3/thumb/iron-fist-1.jpg
Ultimate Marvel vs. Capcom 3,Iron Man,http://static.capcom.com/character_api/umvc3/thumb/iron-man.jpg
Ultimate Marvel vs. Capcom 3,Magneto,http://static.capcom.com/character_api/umvc3/thumb/magneto.jpg
Ultimate Marvel vs. Capcom 3,MODOK,http://static.capcom.com/character_api/umvc3/thumb/modok.jpg
Ultimate Marvel vs. Capcom 3,Nova,http://static.capcom.com/character_api/umvc3/thumb/nova-1.jpg
Ultimate Marvel vs. Capcom 3,Phoenix,http://static.capcom.com/character_api/umvc3/thumb/phoenix.jpg
Ultimate Marvel vs. Capcom 3,Rocket Raccoon,http://static.capcom.com/character_api/umvc3/thumb/rocket-raccoon-1.jpg
Ultimate Marvel vs. Capcom 3,Sentinel,http://static.capcom.com/character_api/umvc3/thumb/sentinel.jpg
Ultimate Marvel vs. Capcom 3,She-Hulk,http://static.capcom.com/character_api/umvc3/thumb/she-hulk.jpg
Ultimate Marvel vs. Capcom 3,Shuma Gorath,http://static.capcom.com/character_api/umvc3/thumb/shuma-gorath.jpg
Ultimate Marvel vs. Capcom 3,Spider-Man,http://static.capcom.com/character_api/umvc3/thumb/spider-man.jpg
Ultimate Marvel vs. Capcom 3,Storm,http://static.capcom.com/character_api/umvc3/thumb/storm.jpg
Ultimate Marvel vs. Capcom 3,Super-Skrull,http://static.capcom.com/character_api/umvc3/thumb/super-skrull.jpg
Ultimate Marvel vs. Capcom 3,Taskmaster,http://static.capcom.com/character_api/umvc3/thumb/taskmaster.jpg
Ultimate Marvel vs. Capcom 3,Thor,http://static.capcom.com/character_api/umvc3/thumb/thor.jpg
Ultimate Marvel vs. Capcom 3,Wolverine,http://static.capcom.com/character_api/umvc3/thumb/wolverine.jpg
Ultimate Marvel vs. Capcom 3,X-23,http://static.capcom.com/character_api/umvc3/thumb/x-23.jpg
BlazeBlue: Chrono,Ragna the Bloodedge,http://www.blazblue.com/wp-content/uploads/2008/08/RagnaCSArt-150x150.png
BlazeBlue: Chrono,Jin Kisaragi,http://www.blazblue.com/wp-content/uploads/2008/08/JinCSArt-150x150.png
BlazeBlue: Chrono,Noel Vermillion,http://www.blazblue.com/wp-content/uploads/2008/08/NoelCSArt-150x150.png
BlazeBlue: Chrono,Rachel Alucard,http://www.blazblue.com/wp-content/uploads/2008/08/RachCSArt-150x150.png
BlazeBlue: Chrono,Taokaka,http://www.blazblue.com/wp-content/uploads/2008/08/TaoCSArt-150x150.png
BlazeBlue: Chrono,Carl Clover,http://www.blazblue.com/wp-content/uploads/2008/08/CarlCSArt-150x150.png
BlazeBlue: Chrono,Litchi Faye-Ling,http://www.blazblue.com/wp-content/uploads/2008/08/LitcCSArt-150x150.png
BlazeBlue: Chrono,Arakune,http://www.blazblue.com/wp-content/uploads/2008/08/ArakCSArt-150x150.png
BlazeBlue: Chrono,Bang Shishigami,http://www.blazblue.com/wp-content/uploads/2008/08/BangCSArt-150x150.png
BlazeBlue: Chrono,Nu-13 ,http://www.blazblue.com/wp-content/uploads/2008/08/NuCSArt-150x150.png
BlazeBlue: Chrono,Hakumen,http://www.blazblue.com/wp-content/uploads/2008/08/HakuCSArt-150x150.png
BlazeBlue: Chrono,Hazama,http://www.blazblue.com/wp-content/uploads/2008/08/HazaCSArt-150x150.png
BlazeBlue: Chrono,Tsubaki Yayoi,http://www.blazblue.com/wp-content/uploads/2008/08/TsuCSArt-150x150.png
BlazeBlue: Chrono,Mu-12,http://www.blazblue.com/wp-content/uploads/2008/08/MuCSArt-150x150.png
BlazeBlue: Chrono,Makoto Nanaya,http://www.blazblue.com/wp-content/uploads/2008/08/MakCSArt-150x150.png
BlazeBlue: Chrono,Valkenhayn R. Hellsing,http://www.blazblue.com/wp-content/uploads/2008/08/ValkCSArt-150x150.png
BlazeBlue: Chrono,Platinum the Trinity,http://www.blazblue.com/wp-content/uploads/2008/08/PlatCSArt-150x150.png
BlazeBlue: Chrono,Relius Clover,http://www.blazblue.com/wp-content/uploads/2008/08/Rerirus-Cloba-150x150.png
Injustice,Hawkgirl,https://www.injustice.com/sites/default/files/characters/icons/hawkgirl-thumb_0.png
Injustice,Shazam,https://www.injustice.com/sites/default/files/characters/icons/shazam-thumb_0.png
Injustice,Aquaman,https://www.injustice.com/sites/default/files/characters/icons/aquaman-thumb_0.png
Injustice,Raven,https://www.injustice.com/sites/default/files/characters/icons/raven-thumb_0.png
Injustice,Doomsday,https://www.injustice.com/sites/default/files/characters/icons/doomsday-thumb_0.png
Injustice,Black Adam,https://www.injustice.com/sites/default/files/characters/icons/black-adam-thumb_0.png
Injustice,Killer Forest,https://www.injustice.com/sites/default/files/characters/icons/killer-frost-thumb_0.png
Injustice,Ares,https://www.injustice.com/sites/default/files/characters/icons/ares-thumb_0.png
Injustice,Batman,https://www.injustice.com/sites/default/files/characters/icons/batman-thumb_0.png
Injustice,Wonder Woman,https://www.injustice.com/sites/default/files/characters/icons/wonder-woman-thumb_0.png
Injustice,Flash,https://www.injustice.com/sites/default/files/characters/icons/flash-thumb_0.png
Injustice,Harley,https://www.injustice.com/sites/default/files/characters/icons/harley-thumb_0.png
Injustice,Grundy,https://www.injustice.com/sites/default/files/characters/icons/grundy-thumb_0.png
Injustice,Nightwing,https://www.injustice.com/sites/default/files/characters/icons/nightwing-thumb_0.png
Injustice,Green Arrow,https://www.injustice.com/sites/default/files/characters/icons/green-arrow-thumb_0.png
Injustice,Joker,https://www.injustice.com/sites/default/files/characters/icons/joker-thumb_0.png
Injustice,Superman,https://www.injustice.com/sites/default/files/characters/icons/superman-thumb_0.png
Injustice,Cyborg,https://www.injustice.com/sites/default/files/characters/icons/cyborg-thumb_0.png
Injustice,Bane,https://www.injustice.com/sites/default/files/characters/icons/bane-thumb_0.png
Injustice,Lex Luther,https://www.injustice.com/sites/default/files/characters/icons/lex-luthor-thumb_0.png
Injustice,Green Lantern,https://www.injustice.com/sites/default/files/characters/icons/green-lantern-thumb_0.png
Injustice,Sinestro,https://www.injustice.com/sites/default/files/characters/icons/sinestro-thumb_0.png
Guilty Gear Core R,Sol Badguy,http://www.fightersgeneration.com/characters3/sol-reload-bust_small.gif
Guilty Gear Core R,Ky Kiske,http://www.fightersgeneration.com/characters2/ky-rl_small.gif
Guilty Gear Core R,Millia,http://www.fightersgeneration.com/characters2/millia-superclose_small.gif
Guilty Gear Core R,Chipp,http://www.fightersgeneration.com/characters/chip-face1.gif
Guilty Gear Core R,May,http://www.fightersgeneration.com/nx8/char/may-ggxrd-portrait.jpg
Guilty Gear Core R,Jam,http://www.fightersgeneration.com/characters/jam-square_small.gif
Guilty Gear Core R,Johnny,http://www.fightersgeneration.com/characters2/johnny-f_small.jpg
Guilty Gear Core R,Baiken,http://www.fightersgeneration.com/characters/baiken-profile.gif
Guilty Gear Core R,Potemkin,http://www.fightersgeneration.com/characters3/potemkin-ca_small.gif
Guilty Gear Core R,Faust,http://www.fightersgeneration.com/characters/faust-f_small.jpg
Guilty Gear Core R,Axl,http://www.fightersgeneration.com/characters/axl-f_small.jpg
Guilty Gear Core R,Anji,http://www.fightersgeneration.com/characters/anji-profile.gif
Guilty Gear Core R,Venom,http://www.fightersgeneration.com/characters4/venom-f_small.jpg
Guilty Gear Core R,Dizzy,http://www.fightersgeneration.com/characters/dizzy-panel_small.gif
Guilty Gear Core R,Testament,http://www.fightersgeneration.com/characters4/testa-rl_small.gif
Guilty Gear Core R,Zato-1,http://www.fightersgeneration.com/characters/zato-reload-bust_small.gif
Guilty Gear Core R,Slayer,http://www.fightersgeneration.com/characters3/slayer-rl_small.gif
Guilty Gear Core R,Bridget,http://www.fightersgeneration.com/characters/bridget-f_small.jpg
Guilty Gear Core R,I-no,http://www.fightersgeneration.com/characters2/ino-rl_small.gif
Guilty Gear Core R,Zappa,http://www.fightersgeneration.com/characters4/zappa-f_small1.jpg
Guilty Gear Core R,Leopaldon,http://www.fightersgeneration.com/characters2/leopaldon-isuka-hr_small.jpg
Guilty Gear Core R,Holy Order Sol,http://www.fightersgeneration.com/characters/holyorder-acplus-end_small.jpg
Guilty Gear Core R,A.B.A.,http://www.fightersgeneration.com/characters/abaa.gif
Guilty Gear Core R,Kliff,http://www.fightersgeneration.com/characters2/kliff-upclose.gif
Guilty Gear Core R,Justice,http://www.fightersgeneration.com/characters2/justice-vs-ggxx_small.png
King of Fighters XIII,Kyo Kusanagi,http://wiki.shoryuken.com/images/f/fa/KOFXIII-Kyo_select_face.png
King of Fighters XIII,Benimaru Nikaido,http://wiki.shoryuken.com/images/7/70/KOFXIII-Benimaru_select_face.png
King of Fighters XIII,Goro Daimon,http://wiki.shoryuken.com/images/8/80/KOFXIII-Daimon_select_face.png
King of Fighters XIII,Terry Bogard,http://wiki.shoryuken.com/images/2/2d/KOFXIII-Terry_select_face.png
King of Fighters XIII,Andy Bogard,http://wiki.shoryuken.com/images/2/28/KOFXIII-Andy_select_face.png
King of Fighters XIII,Joe Higashi,http://wiki.shoryuken.com/images/2/21/KOFXIII-Joe_select_face.png
King of Fighters XIII,Billy Kane,http://wiki.shoryuken.com/images/4/42/KOFXIII-Billy_select_face.png
King of Fighters XIII,Ash Crimson,http://wiki.shoryuken.com/images/6/6d/KOFXIII-Ash_select_face.png
King of Fighters XIII,Saiki,http://wiki.shoryuken.com/images/3/37/KOFXIII-Saiki_select_face.png
King of Fighters XIII,EX Iori,http://wiki.shoryuken.com/images/9/9d/KOFXIII-EX_Iori_select_face.png
King of Fighters XIII,EX Kyo,http://wiki.shoryuken.com/images/c/c1/KOFXIII-EX_Kyo_select_face.png
King of Fighters XIII,Mr. Karate,http://wiki.shoryuken.com/images/3/31/KOFXIII-Mr._Karate_select_face.png
King of Fighters XIII,Ryo Sakazaki,http://wiki.shoryuken.com/images/2/23/KOFXIII-Ryo_select_face.png
King of Fighters XIII,Robert Garcia,http://wiki.shoryuken.com/images/b/bb/KOFXIII-Robert_select_face.png
King of Fighters XIII,Takuma Sakazaki,http://wiki.shoryuken.com/images/e/e7/KOFXIII-Takuma_select_face.png
King of Fighters XIII,Iori Yagami,http://wiki.shoryuken.com/images/7/75/KOFXIII-Iori_select_face.png
King of Fighters XIII,Mature,http://wiki.shoryuken.com/images/3/31/KOFXIII-Mature_select_face.png
King of Fighters XIII,Vice,http://wiki.shoryuken.com/images/b/b8/KOFXIII-Vice_select_face.png
King of Fighters XIII,Saiki (Boss),http://wiki.shoryuken.com/images/a/a2/KOFXIII-Boss_Saiki_select_face.png
King of Fighters XIII,Dark Ash,http://wiki.shoryuken.com/images/d/d7/KOFXIII-Dark_Ash_select_face.png
King of Fighters XIII,Elisabeth,http://wiki.shoryuken.com/images/6/6b/KOFXIII-Elisabeth_select_face.png
King of Fighters XIII,Duo Lon,http://wiki.shoryuken.com/images/3/37/KOFXIII-Duo_Lon_select_face.png
King of Fighters XIII,Shen Woo,http://wiki.shoryuken.com/images/1/10/KOFXIII-Shen_select_face.png
King of Fighters XIII,Kim Kaphwan,http://wiki.shoryuken.com/images/1/11/KOFXIII-Kim_select_face.png
King of Fighters XIII,Hwa Jai,http://wiki.shoryuken.com/images/3/3c/KOFXIII-Hwa_Jai_select_face.png
King of Fighters XIII,Raiden,http://wiki.shoryuken.com/images/e/eb/KOFXIII-Raiden_select_face.png
King of Fighters XIII,Mai Shiranui,http://wiki.shoryuken.com/images/3/33/KOFXIII-Mai_select_face.png
King of Fighters XIII,King,http://wiki.shoryuken.com/images/8/89/KOFXIII-King_select_face.png
King of Fighters XIII,Yuri Sakazaki,http://wiki.shoryuken.com/images/d/d4/KOFXIII-Yuri_select_face.png
King of Fighters XIII,K',http://wiki.shoryuken.com/images/e/ef/KOFXIII-K%27_select_face.png
King of Fighters XIII,Kula Diamond,http://wiki.shoryuken.com/images/2/2b/KOFXIII-Kula_select_face.png
King of Fighters XIII,Maxima,http://wiki.shoryuken.com/images/a/a4/KOFXIII-Maxima_select_face.png
